neighborhood,month,avg_rent,median_rent,rent_std,affordability_ratio,is_affordable,year,prev_year_rent,yoy_change
Boston Metro Area,2015-01,2037.9333378321644,2037.9333378321644,0,1.0189666689160821,False,2015,,
Boston Metro Area,2015-02,2061.778842720355,2061.778842720355,0,1.0308894213601776,False,2015,,
Boston Metro Area,2015-03,2088.2825479863777,2088.2825479863777,0,1.0441412739931888,False,2015,,
Boston Metro Area,2015-04,2107.338853657619,2107.338853657619,0,1.0536694268288096,False,2015,,
Boston Metro Area,2015-05,2123.891893952657,2123.891893952657,0,1.0619459469763286,False,2015,,
Boston Metro Area,2015-06,2137.4280323500275,2137.4280323500275,0,1.0687140161750137,False,2015,,
Boston Metro Area,2015-07,2139.2227390119824,2139.2227390119824,0,1.0696113695059912,False,2015,,
Boston Metro Area,2015-08,2133.847297191971,2133.847297191971,0,1.0669236485959854,False,2015,,
Boston Metro Area,2015-09,2120.242266249776,2120.242266249776,0,1.060121133124888,False,2015,,
Boston Metro Area,2015-10,2108.60500517968,2108.60500517968,0,1.05430250258984,False,2015,,
Boston Metro Area,2015-11,2104.1390668626486,2104.1390668626486,0,1.0520695334313244,False,2015,,
Boston Metro Area,2015-12,2108.340469684314,2108.340469684314,0,1.054170234842157,False,2015,,
Boston Metro Area,2016-01,2126.533211422593,2126.533211422593,0,1.0632666057112965,False,2016,2037.9333378321644,4.347535414709689
Boston Metro Area,2016-02,2155.84704214216,2155.84704214216,0,1.0779235210710798,False,2016,2061.778842720355,4.562477675718567
Boston Metro Area,2016-03,2174.6466118906915,2174.6466118906915,0,1.0873233059453458,False,2016,2088.2825479863777,4.135650321245567
Boston Metro Area,2016-04,2188.940940690182,2188.940940690182,0,1.094470470345091,False,2016,2107.338853657619,3.872281237112368
Boston Metro Area,2016-05,2198.461509670767,2198.461509670767,0,1.0992307548353835,False,2016,2123.891893952657,3.5109892330410806
Boston Metro Area,2016-06,2214.883688754127,2214.883688754127,0,1.1074418443770635,False,2016,2137.4280323500275,3.6237784492299236
Boston Metro Area,2016-07,2221.736604735582,2221.736604735582,0,1.110868302367791,False,2016,2139.2227390119824,3.8571890724062468
Boston Metro Area,2016-08,2220.5362113375227,2220.5362113375227,0,1.1102681056687613,False,2016,2133.847297191971,4.0625640953609805
Boston Metro Area,2016-09,2207.9859367841564,2207.9859367841564,0,1.1039929683920782,False,2016,2120.242266249776,4.1383794640401526
Boston Metro Area,2016-10,2191.442479299152,2191.442479299152,0,1.0957212396495761,False,2016,2108.60500517968,3.9285439385748426
Boston Metro Area,2016-11,2175.6458072113346,2175.6458072113346,0,1.0878229036056672,False,2016,2104.1390668626486,3.3983847111068206
Boston Metro Area,2016-12,2175.3027370940604,2175.3027370940604,0,1.0876513685470302,False,2016,2108.340469684314,3.1760651741306627
Boston Metro Area,2017-01,2202.6949592718856,2202.6949592718856,0,1.1013474796359428,False,2017,2126.533211422593,3.5814981604892258
Boston Metro Area,2017-02,2236.699481327473,2236.699481327473,0,1.1183497406637366,False,2017,2155.84704214216,3.750379206169205
Boston Metro Area,2017-03,2268.42233284406,2268.42233284406,0,1.13421116642203,False,2017,2174.6466118906915,4.312228039287608
Boston Metro Area,2017-04,2282.3422507918594,2282.3422507918594,0,1.1411711253959298,False,2017,2188.940940690182,4.266963460066118
Boston Metro Area,2017-05,2290.5478322365498,2290.5478322365498,0,1.1452739161182748,False,2017,2198.461509670767,4.188671130274787
Boston Metro Area,2017-06,2297.94197164244,2297.94197164244,0,1.14897098582122,False,2017,2214.883688754127,3.75000652675506
Boston Metro Area,2017-07,2300.2235691280357,2300.2235691280357,0,1.1501117845640179,False,2017,2221.736604735582,3.5326853878700235
Boston Metro Area,2017-08,2292.277846250958,2292.277846250958,0,1.146138923125479,False,2017,2220.5362113375227,3.230824813715715
Boston Metro Area,2017-09,2273.7962964975745,2273.7962964975745,0,1.1368981482487872,False,2017,2207.9859367841564,2.9805606375042557
Boston Metro Area,2017-10,2251.5958440463755,2251.5958440463755,0,1.1257979220231877,False,2017,2191.442479299152,2.7449209968066817
Boston Metro Area,2017-11,2248.4708278663743,2248.4708278663743,0,1.1242354139331872,False,2017,2175.6458072113346,3.3472829269201774
Boston Metro Area,2017-12,2263.321080337358,2263.321080337358,0,1.131660540168679,False,2017,2175.3027370940604,4.046257182615397
Boston Metro Area,2018-01,2291.383848330539,2291.383848330539,0,1.1456919241652694,False,2018,2202.6949592718856,4.026380896970409
Boston Metro Area,2018-02,2315.873619620071,2315.873619620071,0,1.1579368098100355,False,2018,2236.699481327473,3.539775412547079
Boston Metro Area,2018-03,2337.0990393825014,2337.0990393825014,0,1.1685495196912508,False,2018,2268.42233284406,3.02750971651462
Boston Metro Area,2018-04,2353.2318661030727,2353.2318661030727,0,1.1766159330515362,False,2018,2282.3422507918594,3.1060028480223787
Boston Metro Area,2018-05,2368.3137049960146,2368.3137049960146,0,1.1841568524980073,False,2018,2290.5478322365498,3.395077442392122
Boston Metro Area,2018-06,2375.7349793589583,2375.7349793589583,0,1.1878674896794792,False,2018,2297.94197164244,3.38533386293111
Boston Metro Area,2018-07,2379.6220033966315,2379.6220033966315,0,1.1898110016983157,False,2018,2300.2235691280357,3.4517703119916296
Boston Metro Area,2018-08,2368.659137384217,2368.659137384217,0,1.1843295686921085,False,2018,2292.277846250958,3.3321131318431214
